ResourceName,ResourceGroup,SubscriptionName,Environment,ResourceType,Cost,Currency,UsageDate,Owner,TagsStatus
storage-backup-prod,rg-backup,Corp-SharedServices,Production,Storage Account,36.34,BRL,2026-05-03,cloud-team,Tagged
law-monitoring-prod,rg-monitoring,Corp-SharedServices,Production,Log Analytics,88.85,BRL,2026-05-03,cloud-team,Tagged
sql-analytics-hml,rg-hml,Corp-Development,Homologation,Azure SQL Database,161.76,BRL,2026-05-03,unknown,MissingTags
app-payments-prod,rg-prod-app,Corp-Production,Production,App Service,99.29,BRL,2026-05-03,devops-team,Tagged
backup-old-vm01,rg-backup,Corp-SharedServices,Production,Backup Vault,43.80,BRL,2026-05-03,unknown,MissingTags
vm-prod-app-01,rg-prod-app,Corp-Production,Production,Virtual Machine,137.23,BRL,2026-05-04,infra-team,Tagged
sql-finance-prod,rg-finance,Corp-Production,Production,Azure SQL Database,277.20,BRL,2026-05-04,finance-team,Tagged
aks-dev-cluster,rg-devops,Corp-Development,Development,AKS,214.17,BRL,2026-05-04,devops-team,Tagged
firewall-hub-prod,rg-network,Corp-SharedServices,Production,Azure Firewall,191.03,BRL,2026-05-04,cloud-team,Tagged
vm-dev-legacy-01,rg-dev,Corp-Development,Development,Virtual Machine,44.99,BRL,2026-05-04,unknown,MissingTags
storage-backup-prod,rg-backup,Corp-SharedServices,Production,Storage Account,41.05,BRL,2026-05-04,cloud-team,Tagged
law-monitoring-prod,rg-monitoring,Corp-SharedServices,Production,Log Analytics,123.49,BRL,2026-05-04,cloud-team,Tagged
sql-analytics-hml,rg-hml,Corp-Development,Homologation,Azure SQL Database,119.21,BRL,2026-05-04,unknown,MissingTags
app-payments-prod,rg-prod-app,Corp-Production,Production,App Service,113.49,BRL,2026-05-04,devops-team,Tagged
backup-old-vm01,rg-backup,Corp-SharedServices,Production,Backup Vault,44.23,BRL,2026-05-04,unknown,MissingTags
vm-prod-app-01,rg-prod-app,Corp-Production,Production,Virtual Machine,124.74,BRL,2026-05-05,infra-team,Tagged
sql-finance-prod,rg-finance,Corp-Production,Production,Azure SQL Database,268.47,BRL,2026-05-05,finance-team,Tagged
aks-dev-cluster,rg-devops,Corp-Development,Development,AKS,243.28,BRL,2026-05-05,devops-team,Tagged
firewall-hub-prod,rg-network,Corp-SharedServices,Production,Azure Firewall,270.43,BRL,2026-05-05,cloud-team,Tagged
vm-dev-legacy-01,rg-dev,Corp-Development,Development,Virtual Machine,58.50,BRL,2026-05-05,unknown,MissingTags
storage-backup-prod,rg-backup,Corp-SharedServices,Production,Storage Account,60.18,BRL,2026-05-05,cloud-team,Tagged
law-monitoring-prod,rg-monitoring,Corp-SharedServices,Production,Log Analytics,109.93,BRL,2026-05-05,cloud-team,Tagged
sql-analytics-hml,rg-hml,Corp-Development,Homologation,Azure SQL Database,170.39,BRL,2026-05-05,unknown,MissingTags
app-payments-prod,rg-prod-app,Corp-Production,Production,App Service,156.74,BRL,2026-05-05,devops-team,Tagged
backup-old-vm01,rg-backup,Corp-SharedServices,Production,Backup Vault,32.30,BRL,2026-05-05,unknown,MissingTags
vm-prod-app-01,rg-prod-app,Corp-Production,Production,Virtual Machine,163.53,BRL,2026-05-06,infra-team,Tagged
sql-finance-prod,rg-finance,Corp-Production,Production,Azure SQL Database,243.87,BRL,2026-05-06,finance-team,Tagged
aks-dev-cluster,rg-devops,Corp-Development,Development,AKS,202.08,BRL,2026-05-06,devops-team,Tagged
firewall-hub-prod,rg-network,Corp-SharedServices,Production,Azure Firewall,279.26,BRL,2026-05-06,cloud-team,Tagged
vm-dev-legacy-01,rg-dev,Corp-Development,Development,Virtual Machine,52.21,BRL,2026-05-06,unknown,MissingTags
storage-backup-prod,rg-backup,Corp-SharedServices,Production,Storage Account,56.14,BRL,2026-05-06,cloud-team,Tagged
law-monitoring-prod,rg-monitoring,Corp-SharedServices,Production,Log Analytics,65.50,BRL,2026-05-06,cloud-team,Tagged
sql-analytics-hml,rg-hml,Corp-Development,Homologation,Azure SQL Database,147.96,BRL,2026-05-06,unknown,MissingTags
app-payments-prod,rg-prod-app,Corp-Production,Production,App Service,161.31,BRL,2026-05-06,devops-team,Tagged
backup-old-vm01,rg-backup,Corp-SharedServices,Production,Backup Vault,44.25,BRL,2026-05-06,unknown,MissingTags
vm-prod-app-01,rg-prod-app,Corp-Production,Production,Virtual Machine,156.92,BRL,2026-05-07,infra-team,Tagged
sql-finance-prod,rg-finance,Corp-Production,Production,Azure SQL Database,273.75,BRL,2026-05-07,finance-team,Tagged
aks-dev-cluster,rg-devops,Corp-Development,Development,AKS,234.92,BRL,2026-05-07,devops-team,Tagged
firewall-hub-prod,rg-network,Corp-SharedServices,Production,Azure Firewall,260.68,BRL,2026-05-07,cloud-team,Tagged
vm-dev-legacy-01,rg-dev,Corp-Development,Development,Virtual Machine,83.59,BRL,2026-05-07,unknown,MissingTags
storage-backup-prod,rg-backup,Corp-SharedServices,Production,Storage Account,54.78,BRL,2026-05-07,cloud-team,Tagged
law-monitoring-prod,rg-monitoring,Corp-SharedServices,Production,Log Analytics,140.65,BRL,2026-05-07,cloud-team,Tagged
sql-analytics-hml,rg-hml,Corp-Development,Homologation,Azure SQL Database,180.39,BRL,2026-05-07,unknown,MissingTags
app-payments-prod,rg-prod-app,Corp-Production,Production,App Service,132.15,BRL,2026-05-07,devops-team,Tagged
backup-old-vm01,rg-backup,Corp-SharedServices,Production,Backup Vault,48.30,BRL,2026-05-07,unknown,MissingTags
vm-prod-app-01,rg-prod-app,Corp-Production,Production,Virtual Machine,98.34,BRL,2026-05-08,infra-team,Tagged
sql-finance-prod,rg-finance,Corp-Production,Production,Azure SQL Database,332.03,BRL,2026-05-08,finance-team,Tagged
aks-dev-cluster,rg-devops,Corp-Development,Development,AKS,230.79,BRL,2026-05-08,devops-team,Tagged
firewall-hub-prod,rg-network,Corp-SharedServices,Production,Azure Firewall,312.17,BRL,2026-05-08,cloud-team,Tagged
vm-dev-legacy-01,rg-dev,Corp-Development,Development,Virtual Machine,101.77,BRL,2026-05-08,unknown,MissingTags
storage-backup-prod,rg-backup,Corp-SharedServices,Production,Storage Account,46.15,BRL,2026-05-08,cloud-team,Tagged
law-monitoring-prod,rg-monitoring,Corp-SharedServices,Production,Log Analytics,98.84,BRL,2026-05-08,cloud-team,Tagged
sql-analytics-hml,rg-hml,Corp-Development,Homologation,Azure SQL Database,149.79,BRL,2026-05-08,unknown,MissingTags
app-payments-prod,rg-prod-app,Corp-Production,Production,App Service,85.83,BRL,2026-05-08,devops-team,Tagged
backup-old-vm01,rg-backup,Corp-SharedServices,Production,Backup Vault,40.14,BRL,2026-05-08,unknown,MissingTags
vm-prod-app-01,rg-prod-app,Corp-Production,Production,Virtual Machine,106.82,BRL,2026-05-09,infra-team,Tagged
sql-finance-prod,rg-finance,Corp-Production,Production,Azure SQL Database,248.13,BRL,2026-05-09,finance-team,Tagged
aks-dev-cluster,rg-devops,Corp-Development,Development,AKS,164.26,BRL,2026-05-09,devops-team,Tagged
firewall-hub-prod,rg-network,Corp-SharedServices,Production,Azure Firewall,285.70,BRL,2026-05-09,cloud-team,Tagged
vm-dev-legacy-01,rg-dev,Corp-Development,Development,Virtual Machine,51.49,BRL,2026-05-09,unknown,MissingTags
storage-backup-prod,rg-backup,Corp-SharedServices,Production,Storage Account,44.49,BRL,2026-05-09,cloud-team,Tagged
law-monitoring-prod,rg-monitoring,Corp-SharedServices,Production,Log Analytics,99.91,BRL,2026-05-09,cloud-team,Tagged
sql-analytics-hml,rg-hml,Corp-Development,Homologation,Azure SQL Database,174.09,BRL,2026-05-09,unknown,MissingTags
app-payments-prod,rg-prod-app,Corp-Production,Production,App Service,92.43,BRL,2026-05-09,devops-team,Tagged
backup-old-vm01,rg-backup,Corp-SharedServices,Production,Backup Vault,39.85,BRL,2026-05-09,unknown,MissingTags
vm-prod-app-01,rg-prod-app,Corp-Production,Production,Virtual Machine,135.64,BRL,2026-05-10,infra-team,Tagged
sql-finance-prod,rg-finance,Corp-Production,Production,Azure SQL Database,362.87,BRL,2026-05-10,finance-team,Tagged
aks-dev-cluster,rg-devops,Corp-Development,Development,AKS,253.53,BRL,2026-05-10,devops-team,Tagged
firewall-hub-prod,rg-network,Corp-SharedServices,Production,Azure Firewall,299.52,BRL,2026-05-10,cloud-team,Tagged
vm-dev-legacy-01,rg-dev,Corp-Development,Development,Virtual Machine,62.81,BRL,2026-05-10,unknown,MissingTags
storage-backup-prod,rg-backup,Corp-SharedServices,Production,Storage Account,53.60,BRL,2026-05-10,cloud-team,Tagged
law-monitoring-prod,rg-monitoring,Corp-SharedServices,Production,Log Analytics,97.44,BRL,2026-05-10,cloud-team,Tagged
sql-analytics-hml,rg-hml,Corp-Development,Homologation,Azure SQL Database,176.60,BRL,2026-05-10,unknown,MissingTags
app-payments-prod,rg-prod-app,Corp-Production,Production,App Service,185.59,BRL,2026-05-10,devops-team,Tagged
backup-old-vm01,rg-backup,Corp-SharedServices,Production,Backup Vault,27.49,BRL,2026-05-10,unknown,MissingTags
vm-prod-app-01,rg-prod-app,Corp-Production,Production,Virtual Machine,108.69,BRL,2026-05-11,infra-team,Tagged
sql-finance-prod,rg-finance,Corp-Production,Production,Azure SQL Database,268.14,BRL,2026-05-11,finance-team,Tagged
aks-dev-cluster,rg-devops,Corp-Development,Development,AKS,186.57,BRL,2026-05-11,devops-team,Tagged
firewall-hub-prod,rg-network,Corp-SharedServices,Production,Azure Firewall,252.98,BRL,2026-05-11,cloud-team,Tagged
vm-dev-legacy-01,rg-dev,Corp-Development,Development,Virtual Machine,86.28,BRL,2026-05-11,unknown,MissingTags
storage-backup-prod,rg-backup,Corp-SharedServices,Production,Storage Account,45.81,BRL,2026-05-11,cloud-team,Tagged
law-monitoring-prod,rg-monitoring,Corp-SharedServices,Production,Log Analytics,64.12,BRL,2026-05-11,cloud-team,Tagged
sql-analytics-hml,rg-hml,Corp-Development,Homologation,Azure SQL Database,123.29,BRL,2026-05-11,unknown,MissingTags
app-payments-prod,rg-prod-app,Corp-Production,Production,App Service,124.18,BRL,2026-05-11,devops-team,Tagged
backup-old-vm01,rg-backup,Corp-SharedServices,Production,Backup Vault,45.30,BRL,2026-05-11,unknown,MissingTags
vm-prod-app-01,rg-prod-app,Corp-Production,Production,Virtual Machine,167.42,BRL,2026-05-12,infra-team,Tagged
sql-finance-prod,rg-finance,Corp-Production,Production,Azure SQL Database,338.29,BRL,2026-05-12,finance-team,Tagged
aks-dev-cluster,rg-devops,Corp-Development,Development,AKS,220.82,BRL,2026-05-12,devops-team,Tagged
firewall-hub-prod,rg-network,Corp-SharedServices,Production,Azure Firewall,271.46,BRL,2026-05-12,cloud-team,Tagged
vm-dev-legacy-01,rg-dev,Corp-Development,Development,Virtual Machine,93.30,BRL,2026-05-12,unknown,MissingTags
storage-backup-prod,rg-backup,Corp-SharedServices,Production,Storage Account,34.93,BRL,2026-05-12,cloud-team,Tagged
law-monitoring-prod,rg-monitoring,Corp-SharedServices,Production,Log Analytics,150.58,BRL,2026-05-12,cloud-team,Tagged
sql-analytics-hml,rg-hml,Corp-Development,Homologation,Azure SQL Database,166.43,BRL,2026-05-12,unknown,MissingTags
app-payments-prod,rg-prod-app,Corp-Production,Production,App Service,178.88,BRL,2026-05-12,devops-team,Tagged
backup-old-vm01,rg-backup,Corp-SharedServices,Production,Backup Vault,55.46,BRL,2026-05-12,unknown,MissingTags
vm-prod-app-01,rg-prod-app,Corp-Production,Production,Virtual Machine,126.22,BRL,2026-05-13,infra-team,Tagged
sql-finance-prod,rg-finance,Corp-Production,Production,Azure SQL Database,296.40,BRL,2026-05-13,finance-team,Tagged
aks-dev-cluster,rg-devops,Corp-Development,Development,AKS,173.41,BRL,2026-05-13,devops-team,Tagged
firewall-hub-prod,rg-network,Corp-SharedServices,Production,Azure Firewall,275.19,BRL,2026-05-13,cloud-team,Tagged
vm-dev-legacy-01,rg-dev,Corp-Development,Development,Virtual Machine,47.66,BRL,2026-05-13,unknown,MissingTags
storage-backup-prod,rg-backup,Corp-SharedServices,Production,Storage Account,35.85,BRL,2026-05-13,cloud-team,Tagged
law-monitoring-prod,rg-monitoring,Corp-SharedServices,Production,Log Analytics,84.66,BRL,2026-05-13,cloud-team,Tagged
sql-analytics-hml,rg-hml,Corp-Development,Homologation,Azure SQL Database,94.40,BRL,2026-05-13,unknown,MissingTags
app-payments-prod,rg-prod-app,Corp-Production,Production,App Service,122.50,BRL,2026-05-13,devops-team,Tagged
backup-old-vm01,rg-backup,Corp-SharedServices,Production,Backup Vault,23.75,BRL,2026-05-13,unknown,MissingTags
vm-prod-app-01,rg-prod-app,Corp-Production,Production,Virtual Machine,97.28,BRL,2026-05-14,infra-team,Tagged
sql-finance-prod,rg-finance,Corp-Production,Production,Azure SQL Database,260.64,BRL,2026-05-14,finance-team,Tagged
aks-dev-cluster,rg-devops,Corp-Development,Development,AKS,174.17,BRL,2026-05-14,devops-team,Tagged
firewall-hub-prod,rg-network,Corp-SharedServices,Production,Azure Firewall,241.68,BRL,2026-05-14,cloud-team,Tagged
vm-dev-legacy-01,rg-dev,Corp-Development,Development,Virtual Machine,45.16,BRL,2026-05-14,unknown,MissingTags
storage-backup-prod,rg-backup,Corp-SharedServices,Production,Storage Account,79.66,BRL,2026-05-14,cloud-team,Tagged
law-monitoring-prod,rg-monitoring,Corp-SharedServices,Production,Log Analytics,124.57,BRL,2026-05-14,cloud-team,Tagged
sql-analytics-hml,rg-hml,Corp-Development,Homologation,Azure SQL Database,93.31,BRL,2026-05-14,unknown,MissingTags
app-payments-prod,rg-prod-app,Corp-Production,Production,App Service,113.72,BRL,2026-05-14,devops-team,Tagged
backup-old-vm01,rg-backup,Corp-SharedServices,Production,Backup Vault,36.63,BRL,2026-05-14,unknown,MissingTags
vm-prod-app-01,rg-prod-app,Corp-Production,Production,Virtual Machine,125.53,BRL,2026-05-15,infra-team,Tagged
sql-finance-prod,rg-finance,Corp-Production,Production,Azure SQL Database,257.81,BRL,2026-05-15,finance-team,Tagged
aks-dev-cluster,rg-devops,Corp-Development,Development,AKS,264.53,BRL,2026-05-15,devops-team,Tagged
firewall-hub-prod,rg-network,Corp-SharedServices,Production,Azure Firewall,325.17,BRL,2026-05-15,cloud-team,Tagged
vm-dev-legacy-01,rg-dev,Corp-Development,Development,Virtual Machine,78.93,BRL,2026-05-15,unknown,MissingTags
storage-backup-prod,rg-backup,Corp-SharedServices,Production,Storage Account,58.90,BRL,2026-05-15,cloud-team,Tagged
law-monitoring-prod,rg-monitoring,Corp-SharedServices,Production,Log Analytics,73.62,BRL,2026-05-15,cloud-team,Tagged
sql-analytics-hml,rg-hml,Corp-Development,Homologation,Azure SQL Database,88.30,BRL,2026-05-15,unknown,MissingTags
app-payments-prod,rg-prod-app,Corp-Production,Production,App Service,124.19,BRL,2026-05-15,devops-team,Tagged
backup-old-vm01,rg-backup,Corp-SharedServices,Production,Backup Vault,33.25,BRL,2026-05-15,unknown,MissingTags
vm-prod-app-01,rg-prod-app,Corp-Production,Production,Virtual Machine,161.80,BRL,2026-05-16,infra-team,Tagged
sql-finance-prod,rg-finance,Corp-Production,Production,Azure SQL Database,265.19,BRL,2026-05-16,finance-team,Tagged
aks-dev-cluster,rg-devops,Corp-Development,Development,AKS,166.74,BRL,2026-05-16,devops-team,Tagged
firewall-hub-prod,rg-network,Corp-SharedServices,Production,Azure Firewall,321.50,BRL,2026-05-16,cloud-team,Tagged
vm-dev-legacy-01,rg-dev,Corp-Development,Development,Virtual Machine,84.14,BRL,2026-05-16,unknown,MissingTags
storage-backup-prod,rg-backup,Corp-SharedServices,Production,Storage Account,40.81,BRL,2026-05-16,cloud-team,Tagged
law-monitoring-prod,rg-monitoring,Corp-SharedServices,Production,Log Analytics,119.02,BRL,2026-05-16,cloud-team,Tagged
sql-analytics-hml,rg-hml,Corp-Development,Homologation,Azure SQL Database,79.77,BRL,2026-05-16,unknown,MissingTags
app-payments-prod,rg-prod-app,Corp-Production,Production,App Service,145.18,BRL,2026-05-16,devops-team,Tagged
backup-old-vm01,rg-backup,Corp-SharedServices,Production,Backup Vault,64.65,BRL,2026-05-16,unknown,MissingTags
vm-prod-app-01,rg-prod-app,Corp-Production,Production,Virtual Machine,165.37,BRL,2026-05-17,infra-team,Tagged
sql-finance-prod,rg-finance,Corp-Production,Production,Azure SQL Database,349.00,BRL,2026-05-17,finance-team,Tagged
aks-dev-cluster,rg-devops,Corp-Development,Development,AKS,196.47,BRL,2026-05-17,devops-team,Tagged
firewall-hub-prod,rg-network,Corp-SharedServices,Production,Azure Firewall,246.25,BRL,2026-05-17,cloud-team,Tagged
vm-dev-legacy-01,rg-dev,Corp-Development,Development,Virtual Machine,56.83,BRL,2026-05-17,unknown,MissingTags
storage-backup-prod,rg-backup,Corp-SharedServices,Production,Storage Account,75.41,BRL,2026-05-17,cloud-team,Tagged
law-monitoring-prod,rg-monitoring,Corp-SharedServices,Production,Log Analytics,118.65,BRL,2026-05-17,cloud-team,Tagged
sql-analytics-hml,rg-hml,Corp-Development,Homologation,Azure SQL Database,171.16,BRL,2026-05-17,unknown,MissingTags
app-payments-prod,rg-prod-app,Corp-Production,Production,App Service,124.19,BRL,2026-05-17,devops-team,Tagged
backup-old-vm01,rg-backup,Corp-SharedServices,Production,Backup Vault,31.79,BRL,2026-05-17,unknown,MissingTags
vm-prod-app-01,rg-prod-app,Corp-Production,Production,Virtual Machine,162.30,BRL,2026-05-18,infra-team,Tagged
sql-finance-prod,rg-finance,Corp-Production,Production,Azure SQL Database,395.65,BRL,2026-05-18,finance-team,Tagged
aks-dev-cluster,rg-devops,Corp-Development,Development,AKS,269.51,BRL,2026-05-18,devops-team,Tagged
firewall-hub-prod,rg-network,Corp-SharedServices,Production,Azure Firewall,305.93,BRL,2026-05-18,cloud-team,Tagged
vm-dev-legacy-01,rg-dev,Corp-Development,Development,Virtual Machine,107.55,BRL,2026-05-18,unknown,MissingTags
storage-backup-prod,rg-backup,Corp-SharedServices,Production,Storage Account,74.06,BRL,2026-05-18,cloud-team,Tagged
law-monitoring-prod,rg-monitoring,Corp-SharedServices,Production,Log Analytics,88.89,BRL,2026-05-18,cloud-team,Tagged
sql-analytics-hml,rg-hml,Corp-Development,Homologation,Azure SQL Database,140.33,BRL,2026-05-18,unknown,MissingTags
app-payments-prod,rg-prod-app,Corp-Production,Production,App Service,127.75,BRL,2026-05-18,devops-team,Tagged
backup-old-vm01,rg-backup,Corp-SharedServices,Production,Backup Vault,23.39,BRL,2026-05-18,unknown,MissingTags
vm-prod-app-01,rg-prod-app,Corp-Production,Production,Virtual Machine,102.23,BRL,2026-05-19,infra-team,Tagged
sql-finance-prod,rg-finance,Corp-Production,Production,Azure SQL Database,288.07,BRL,2026-05-19,finance-team,Tagged
aks-dev-cluster,rg-devops,Corp-Development,Development,AKS,198.45,BRL,2026-05-19,devops-team,Tagged
firewall-hub-prod,rg-network,Corp-SharedServices,Production,Azure Firewall,292.50,BRL,2026-05-19,cloud-team,Tagged
vm-dev-legacy-01,rg-dev,Corp-Development,Development,Virtual Machine,118.91,BRL,2026-05-19,unknown,MissingTags
storage-backup-prod,rg-backup,Corp-SharedServices,Production,Storage Account,58.21,BRL,2026-05-19,cloud-team,Tagged
law-monitoring-prod,rg-monitoring,Corp-SharedServices,Production,Log Analytics,160.46,BRL,2026-05-19,cloud-team,Tagged
sql-analytics-hml,rg-hml,Corp-Development,Homologation,Azure SQL Database,198.65,BRL,2026-05-19,unknown,MissingTags
app-payments-prod,rg-prod-app,Corp-Production,Production,App Service,195.11,BRL,2026-05-19,devops-team,Tagged
backup-old-vm01,rg-backup,Corp-SharedServices,Production,Backup Vault,38.45,BRL,2026-05-19,unknown,MissingTags
vm-prod-app-01,rg-prod-app,Corp-Production,Production,Virtual Machine,117.87,BRL,2026-05-20,infra-team,Tagged
sql-finance-prod,rg-finance,Corp-Production,Production,Azure SQL Database,281.45,BRL,2026-05-20,finance-team,Tagged
aks-dev-cluster,rg-devops,Corp-Development,Development,AKS,191.88,BRL,2026-05-20,devops-team,Tagged
firewall-hub-prod,rg-network,Corp-SharedServices,Production,Azure Firewall,228.64,BRL,2026-05-20,cloud-team,Tagged
vm-dev-legacy-01,rg-dev,Corp-Development,Development,Virtual Machine,93.55,BRL,2026-05-20,unknown,MissingTags
storage-backup-prod,rg-backup,Corp-SharedServices,Production,Storage Account,83.86,BRL,2026-05-20,cloud-team,Tagged
law-monitoring-prod,rg-monitoring,Corp-SharedServices,Production,Log Analytics,151.64,BRL,2026-05-20,cloud-team,Tagged
sql-analytics-hml,rg-hml,Corp-Development,Homologation,Azure SQL Database,137.22,BRL,2026-05-20,unknown,MissingTags
app-payments-prod,rg-prod-app,Corp-Production,Production,App Service,162.43,BRL,2026-05-20,devops-team,Tagged
backup-old-vm01,rg-backup,Corp-SharedServices,Production,Backup Vault,58.12,BRL,2026-05-20,unknown,MissingTags
vm-prod-app-01,rg-prod-app,Corp-Production,Production,Virtual Machine,107.84,BRL,2026-05-21,infra-team,Tagged
sql-finance-prod,rg-finance,Corp-Production,Production,Azure SQL Database,351.27,BRL,2026-05-21,finance-team,Tagged
aks-dev-cluster,rg-devops,Corp-Development,Development,AKS,281.12,BRL,2026-05-21,devops-team,Tagged
firewall-hub-prod,rg-network,Corp-SharedServices,Production,Azure Firewall,307.87,BRL,2026-05-21,cloud-team,Tagged
vm-dev-legacy-01,rg-dev,Corp-Development,Development,Virtual Machine,103.99,BRL,2026-05-21,unknown,MissingTags
storage-backup-prod,rg-backup,Corp-SharedServices,Production,Storage Account,60.59,BRL,2026-05-21,cloud-team,Tagged
law-monitoring-prod,rg-monitoring,Corp-SharedServices,Production,Log Analytics,85.51,BRL,2026-05-21,cloud-team,Tagged
sql-analytics-hml,rg-hml,Corp-Development,Homologation,Azure SQL Database,176.27,BRL,2026-05-21,unknown,MissingTags
app-payments-prod,rg-prod-app,Corp-Production,Production,App Service,127.31,BRL,2026-05-21,devops-team,Tagged
backup-old-vm01,rg-backup,Corp-SharedServices,Production,Backup Vault,58.49,BRL,2026-05-21,unknown,MissingTags
vm-prod-app-01,rg-prod-app,Corp-Production,Production,Virtual Machine,178.61,BRL,2026-05-22,infra-team,Tagged
sql-finance-prod,rg-finance,Corp-Production,Production,Azure SQL Database,311.32,BRL,2026-05-22,finance-team,Tagged
aks-dev-cluster,rg-devops,Corp-Development,Development,AKS,219.46,BRL,2026-05-22,devops-team,Tagged
firewall-hub-prod,rg-network,Corp-SharedServices,Production,Azure Firewall,331.89,BRL,2026-05-22,cloud-team,Tagged
vm-dev-legacy-01,rg-dev,Corp-Development,Development,Virtual Machine,102.56,BRL,2026-05-22,unknown,MissingTags
storage-backup-prod,rg-backup,Corp-SharedServices,Production,Storage Account,43.52,BRL,2026-05-22,cloud-team,Tagged
law-monitoring-prod,rg-monitoring,Corp-SharedServices,Production,Log Analytics,80.74,BRL,2026-05-22,cloud-team,Tagged
sql-analytics-hml,rg-hml,Corp-Development,Homologation,Azure SQL Database,97.92,BRL,2026-05-22,unknown,MissingTags
app-payments-prod,rg-prod-app,Corp-Production,Production,App Service,192.71,BRL,2026-05-22,devops-team,Tagged
backup-old-vm01,rg-backup,Corp-SharedServices,Production,Backup Vault,59.07,BRL,2026-05-22,unknown,MissingTags
vm-prod-app-01,rg-prod-app,Corp-Production,Production,Virtual Machine,113.92,BRL,2026-05-23,infra-team,Tagged
sql-finance-prod,rg-finance,Corp-Production,Production,Azure SQL Database,381.55,BRL,2026-05-23,finance-team,Tagged
aks-dev-cluster,rg-devops,Corp-Development,Development,AKS,293.04,BRL,2026-05-23,devops-team,Tagged
firewall-hub-prod,rg-network,Corp-SharedServices,Production,Azure Firewall,294.22,BRL,2026-05-23,cloud-team,Tagged
vm-dev-legacy-01,rg-dev,Corp-Development,Development,Virtual Machine,73.34,BRL,2026-05-23,unknown,MissingTags
storage-backup-prod,rg-backup,Corp-SharedServices,Production,Storage Account,65.28,BRL,2026-05-23,cloud-team,Tagged
law-monitoring-prod,rg-monitoring,Corp-SharedServices,Production,Log Analytics,81.59,BRL,2026-05-23,cloud-team,Tagged
sql-analytics-hml,rg-hml,Corp-Development,Homologation,Azure SQL Database,81.34,BRL,2026-05-23,unknown,MissingTags
app-payments-prod,rg-prod-app,Corp-Production,Production,App Service,201.27,BRL,2026-05-23,devops-team,Tagged
backup-old-vm01,rg-backup,Corp-SharedServices,Production,Backup Vault,52.27,BRL,2026-05-23,unknown,MissingTags
vm-prod-app-01,rg-prod-app,Corp-Production,Production,Virtual Machine,144.97,BRL,2026-05-24,infra-team,Tagged
